DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-19 08:33:03.300117 | HEARTBEAT: 1284903183
DEBUG:root:2010-09-19 08:38:03.314718 | HEARTBEAT: 1284903483
DEBUG:root:2010-09-19 08:43:03.294086 | HEARTBEAT: 1284903783
DEBUG:root:2010-09-19 08:48:03.300237 | HEARTBEAT: 1284904083
DEBUG:root:2010-09-19 08:53:03.300981 | HEARTBEAT: 1284904383
DEBUG:root:2010-09-19 08:58:03.353069 | HEARTBEAT: 1284904683
DEBUG:root:2010-09-19 09:03:03.356463 | HEARTBEAT: 1284904983
DEBUG:root:2010-09-19 09:08:03.300072 | HEARTBEAT: 1284905283
DEBUG:root:2010-09-19 09:13:03.295540 | HEARTBEAT: 1284905583
DEBUG:root:2010-09-19 09:18:03.295709 | HEARTBEAT: 1284905883
DEBUG:root:2010-09-19 09:23:03.296072 | HEARTBEAT: 1284906183
DEBUG:root:2010-09-19 09:28:03.293367 | HEARTBEAT: 1284906483
DEBUG:root:2010-09-19 09:33:03.299426 | HEARTBEAT: 1284906783
DEBUG:root:2010-09-19 09:38:03.298406 | HEARTBEAT: 1284907083
DEBUG:root:2010-09-19 09:43:03.298911 | HEARTBEAT: 1284907383
DEBUG:root:2010-09-19 09:48:03.297272 | HEARTBEAT: 1284907683
DEBUG:root:2010-09-19 09:53:03.297309 | HEARTBEAT: 1284907983
DEBUG:root:2010-09-19 09:58:03.296295 | HEARTBEAT: 1284908283
DEBUG:root:2010-09-19 10:03:03.314825 | HEARTBEAT: 1284908583
DEBUG:root:2010-09-19 10:08:03.297834 | HEARTBEAT: 1284908883
DEBUG:root:2010-09-19 10:13:03.325248 | HEARTBEAT: 1284909183
DEBUG:root:2010-09-19 10:18:03.351093 | HEARTBEAT: 1284909483
DEBUG:root:2010-09-19 10:23:03.295961 | HEARTBEAT: 1284909783
DEBUG:root:2010-09-19 10:28:03.297798 | HEARTBEAT: 1284910083
DEBUG:root:2010-09-19 10:33:03.296807 | HEARTBEAT: 1284910383
DEBUG:root:2010-09-19 10:38:03.297455 | HEARTBEAT: 1284910683
DEBUG:root:2010-09-19 10:43:03.330941 | HEARTBEAT: 1284910983
DEBUG:root:2010-09-19 10:48:03.297847 | HEARTBEAT: 1284911283
DEBUG:root:2010-09-19 10:53:03.307815 | HEARTBEAT: 1284911583
DEBUG:root:2010-09-19 10:58:03.297659 | HEARTBEAT: 1284911883
DEBUG:root:2010-09-19 11:03:03.296734 | HEARTBEAT: 1284912183
DEBUG:root:2010-09-19 11:08:03.342925 | HEARTBEAT: 1284912483
DEBUG:root:2010-09-19 11:13:03.359311 | HEARTBEAT: 1284912783
DEBUG:root:2010-09-19 11:18:03.296904 | HEARTBEAT: 1284913083
DEBUG:root:2010-09-19 11:23:03.326070 | HEARTBEAT: 1284913383
DEBUG:root:2010-09-19 11:28:03.296372 | HEARTBEAT: 1284913683
DEBUG:root:2010-09-19 11:33:03.298303 | HEARTBEAT: 1284913983
DEBUG:root:2010-09-19 11:38:03.297108 | HEARTBEAT: 1284914283
DEBUG:root:2010-09-19 11:43:03.296338 | HEARTBEAT: 1284914583
DEBUG:root:2010-09-19 11:48:03.295715 | HEARTBEAT: 1284914883
DEBUG:root:2010-09-19 11:53:03.294055 | HEARTBEAT: 1284915183
DEBUG:root:2010-09-19 11:58:03.290095 | HEARTBEAT: 1284915483
DEBUG:root:2010-09-19 12:03:03.325874 | HEARTBEAT: 1284915783
DEBUG:root:2010-09-19 12:08:03.294388 | HEARTBEAT: 1284916083
DEBUG:root:2010-09-19 12:13:03.295183 | HEARTBEAT: 1284916383
DEBUG:root:2010-09-19 12:18:03.294054 | HEARTBEAT: 1284916683
DEBUG:root:2010-09-19 12:23:03.294772 | HEARTBEAT: 1284916983
DEBUG:root:2010-09-19 12:28:04.814927 | HEARTBEAT: 1284917284
DEBUG:root:2010-09-19 12:34:03.288086 | HEARTBEAT: 1284917643
DEBUG:root:2010-09-19 12:39:03.295344 | HEARTBEAT: 1284917943
DEBUG:root:2010-09-19 12:44:03.485279 | HEARTBEAT: 1284918243
DEBUG:root:2010-09-19 12:49:04.552206 | HEARTBEAT: 1284918544
DEBUG:root:2010-09-19 12:55:03.451848 | HEARTBEAT: 1284918903
DEBUG:root:2010-09-19 13:00:03.352099 | HEARTBEAT: 1284919203
DEBUG:root:2010-09-19 13:05:03.292871 | HEARTBEAT: 1284919503
DEBUG:root:2010-09-19 13:10:03.353907 | HEARTBEAT: 1284919803
DEBUG:root:2010-09-19 13:15:03.360653 | HEARTBEAT: 1284920103
